LTR,CANVAS ID,Subaccount,Unit,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
JS,118673,265,BIOL,BIOL 204 951 2023S2,BIOL 204 951 2023S2 Vertebrate Structure and Function,"SABER, NELLY",34,In Person,Active,7/21/2023,9:00 - 10:00,In Person,In Person,Held in BIOL 2200,8/15/23,12:00 PM,In Person,In Person,BIOL 2200
JS,118674,265,BIOL,BIOL 234 951 2023S2,BIOL 234 951 2023S2 Fundamentals of Genetics,"BEREZOWSKY, CRAIG",74,In Person,Active,7/21/2023,10:00 - 12:00,In Person,In Person,,8/15/23,12:00 PM,In Person,In Person,IBLC 182
,,,,,,,,,,8/4/2023,10:00 - 12:00,,,,,,,,
JS,118675,265,BIOL,BIOL 300 951 2023S2,BIOL 300 951 2023S2 Fundamentals of Biostatistics,"TAFRESHI, ALIREZA",89,In Person,Active,7/20/2023 OR 7/25/2023,14:00 - 15:00,In Person,In Person,,8/16/23,3:30 PM,In Person,In Person,SWNG 221
JS,118676,265,BIOL,BIOL 336 951 2023S2,BIOL 336 951 2023S2 Fundamentals of Evolutionary Biology,"SCHICK, ALANA",67,In Person,Active,7/21/2023,10:00 - 12:00,In Person,In Person,,8/18/23,12:00 PM,In Person,In Person,IBLC 182
JS,118752,267,CPSC,CPSC 213 921 2023S2,CPSC 213 921 2023S2 Introduction to Computer Systems,"JOHNSON, JORDON",128,In Person,Active,7/13/2023,Booked separately,In Person,In Person,,8/18/23,12:00 PM,In Person,In Person,Location varies
,,,,,,,,,,7/25/2023,,,,,,,,,
,,,,,,,,,,8/8/2023,,,,,,,,,
JS,118754,267,CPSC,CPSC 320 921 2023S2,CPSC 320 921 2023S2 Intermediate Algorithm Design and Analysis,"CONDON, ANNE",151,In Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,8/16/23,12:00 PM,In Person,In Person,ESB 1013
JS,119108,270,MICB,MICB 212 971 2023S2,MICB 212 971 2023S2 Introductory Immunology and Virology,"KION, TRACY",52,In Person,Active,7/24/2023,12:00-?,In Person,In Person,,8/15/23,3:30 PM,In Person,In Person,IRC 1
JS,119109,270,MICB,MICB 323 971 2023S2,MICB 323 971 2023S2 Molecular Immunology and Virology Laboratory,"CHUA, MICHAEL",26,In Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,8/16/23,12:00 PM,In Person,In Person,IRC 3
,,,,,,"GRAVES, MARCIA",,,,,,,,,,,,,
JS,119118,248,MRNE,MRNE 402B 961 2023S2,MRNE 402B 961 2023S2 Special Topics in Marine Biology - BIOL OCEANOGRPHY,N/A,4,In Person,Inactive,Blank,Blank,Blank,Blank,Blank Canvas Shell,Blank,Blank,Blank,Blank,Blank Canvas Shell
JS,119119,248,MRNE,MRNE 402P 961 2023S2,MRNE 402P 961 2023S2 Special Topics in Marine Biology - MODELS IN ECOL,N/A,2,In Person,Inactive,Blank,Blank,Blank,Blank,Blank Canvas Shell,Blank,Blank,Blank,Blank,Blank Canvas Shell
JS,119247,262,STAT,STAT 201 202 2023S2,STAT 201 202 2023S2 Statistical Inference for Data Science,"LEE, MELISSA",128,In Person,Active,7/20/2023,13:30 - 14:15,In Person,In Person,,8/16/23,7:00 PM,In Person,In Person,LIFE 2201
,,,,,,,,,,8/3/2023,13:30 - 14:15,,,,,,,,
JS,119248,262,STAT,STAT 305 001 2023S2,STAT 305 001 2023S2 Introduction to Statistical Inference,"LOURENZUTTI, RODOLFO",54,In Person,Active,7/28/2023,9:00 - 10:30,Canvas Classic Quiz,In Person,,8/15/23,3:30 PM,In Person,In Person,IBLC 261
JS,119249,262,STAT,STAT 306 201 2023S2,STAT 306 201 2023S2 Finding Relationships in Data,"BURR, BENJAMIN",62,In Person,Active,7/27/2023,9:00 - 10:30,In Person,In Person,,8/19/23,8:30 AM,In Person,In Person,IBLC 261
KL,118705,269,CHEM,CHEM 123 921 2023S2,"CHEM 123 921 2023S2 Thermodynamics, Kinetics and Organic Chemistry","KIL, RICHARD",142,In Person,Active,7/26/2023,10:30 - 12:50,In Person,In Person,,8/15/23,8:30 AM,In Person,In Person,HEBB 100
KL,135775,269,CHEM,CHEM 123/135 LABS 2023S2,CHEM 123/135 LABS 2023S2,"RAHEEM, NIGARE",120,In Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,8/15/23,8:30 AM,In Person,In Person,HEBB 100
KL,118749,267,CPSC,CPSC 100 921 2023S2,CPSC 100 921 2023S2 Computational Thinking,"BLOK, HENDRIK",67,In Person,Active,7/25/2023,13:30-16:50,Canvas Classic Quiz,In Person,,8/19/23,3:30 PM,Canvas Classic Quiz,In Person,DMP 310
KL,118750,267,CPSC,CPSC 121 921 2023S2,CPSC 121 921 2023S2 Models of Computation,"HOSSEINI, SEYYED",145,In Person,Active,7/24/2023,9:30 - 12:00,In Person,In Person,,8/18/23,3:30 PM,In Person,In Person,HEBB 100
KL,118751,267,CPSC,CPSC 210 921 2023S2,CPSC 210 921 2023S2 Software Construction,"CARTER, PAUL",204,In Person,Active,7/18/2023,9:30 - 10:45,In Person,In Person,,8/15/23,8:30 AM,In Person,In Person,
,,,,,,,,,,8/01/2023,9:30 - 10:45,,,,,,,,
KL,118753,267,CPSC,CPSC 304 921 2023S2,CPSC 304 921 2023S2 Introduction to Relational Databases,"GEORGE, GITTU",159,In Person,Active,7/25/2023,13:00 - 16:00,In Person,In Person,,8/17/23,8:30 AM,In Person,In Person,HEBB 100
KL,119090,271,MATH,MATH 101 951 2023S2,MATH 101 951 2023S2 Integral Calculus with Applications,"ALINIAEIFARD, FARID",330,In Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,8/16/23,8:30 AM,In Person,In Person,IRC 6 / IRC 2
,,,,,,"JARVINEN, TEEMU",,,,,,,,,,,,,
,,,,,,"LOEWEN, PHILIP",,,,,,,,,,,,,
KL,119091,271,MATH,MATH 300 951 2023S2,MATH 300 951 2023S2 Introduction to Complex Variables,"REICHSTEIN, ZINOVY",57,In Person,Active,7/18/2023,13:00 - 14:50,In Person,In Person,,8/18/23,3:30 PM,In Person,In Person,IBLC 261
,,,,,,,,,,8/03/2023,13:00 - 14:50,,,,,,,,
KL,119092,271,MATH,MATH 302 951 2023S2,MATH 302 951 2023S2 Introduction to Probability,"RICHEY, JACOB",97,In Person,Active,7/26/2023,15:00 - 16:00,In Person,In Person,,8/19/23,3:30 PM,In Person,In Person,SWNG 221
KL,119095,271,MATH,MATH 312 951 2023S2,MATH 312 951 2023S2 Introduction to Number Theory,"MACDONALD, JOHN",47,In Person,Inactive,Blank,Blank,Blank,Blank,Blank Canvas Shell,Blank,Blank,Blank,Blank,Blank Canvas Shell
KL,119096,271,MATH,MATH 317 951 2023S2,MATH 317 951 2023S2 Calculus IV,"ROUSE, NICHOLAS",60,In Person,Active,7/27/2023,10:00 - 11:30,In Person,In Person,,8/17/23,3:30 PM,In Person,In Person,DMP 110
KL,119194,261,PHYS,PHYS 118 952 2023S2,"PHYS 118 952 2023S2 Electricity, Light and Radiation","LITINSKAYA, MARINA",211,In Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,8/18/23,8:30 AM,In Person,In Person,HEBB 100
KL,119196,261,PHYS,PHYS 546 971 2023S2,PHYS 546 971 2023S2 Clinical Experience in Medical Physics ,"MESTROVIC, ANTE",0,In Person,Inactive,Blank,Blank,Blank,Blank,Blank Canvas Shell,Blank,Blank,Blank,Blank,Blank Canvas Shell
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
